DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,sector,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2018,39105,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2019,39781,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2020,38502,p
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BE,2021,39899,p
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2000,3587,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2001,3322,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2002,3581,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2003,3768,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2004,4245,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2005,4896,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2006,5695,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2007,7227,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2008,8712,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2009,7241,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2010,6987,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2011,7736,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2012,7122,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2013,6483,
ESTAT:NASA_10_NF_TR(1.0),13/02/23 23:00:00,A,CP_MEUR,RECV,B2A3N,S14,BG,2014,6197,
