,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
331,Primary metals,133,---,8839,656,336,6,7399,523,1589,79217,83184,36924,2764,18561,55301,8832,4927,10970,6030,222,---,1028,40,75,71,1615,1155,6,---,---,44,---,1021,---,---,---,---,567,---,23,15,268,904,---,---,1,---,13,3525,152,---,1,2230,73,584,512,130,58,32,14,301,14,186,12,250,355,125,538,---,126,619,343096,1844,---,---,---,---,-5379,29433,-107865,---,---,---,---,---,---,---,---,---,---,---,---,-81967,261129
332,Fabricated metal products,2129,128,9312,998,589,567,109544,2527,3660,4295,37819,27958,2941,9205,45963,11215,3254,6083,17234,800,463,6153,1676,762,10144,7241,4044,499,264,110,2958,205,556,812,1411,198,765,1062,666,917,71,10774,3157,115,218,6,25,372,2626,1402,55,1149,6811,1471,3489,2870,702,251,1252,29,1798,19,352,1301,4770,2784,5639,1134,499,3535,4737,400535,28489,---,14295,---,---,-3661,28799,-88626,---,---,405,---,---,---,7,---,---,---,36,---,-20254,380281
333,Machinery,3436,158,11147,4229,4217,1218,43172,425,172,762,4071,35606,235,2250,26630,3962,76,1094,4979,39,2,1110,1803,140,4053,1761,2487,145,208,168,1339,1,71,12,163,119,24,4709,593,116,56,1440,1308,5,53,691,---,162,511,668,36,1393,3487,523,3991,4048,2659,999,634,183,152,23,127,61,1096,6903,658,215,59,5766,1789,206599,14691,---,267151,---,---,3305,99889,-205834,---,---,1445,---,---,---,5,---,---,---,5622,---,186275,392875
334,Computer and electronic products,49,0,35,15,83,114,6313,813,1584,1776,5814,10284,17422,4626,26714,11559,1191,3392,2714,857,189,1244,2674,559,6312,2839,14897,1047,444,432,1985,3,59,1,219,4,2,146,370,3457,1533,21097,8414,302,1343,49,681,960,680,290,1668,6775,12070,11509,4574,655,1016,9863,702,159,446,24,164,212,130,8277,26919,4548,1,2599,1296,261192,130329,---,221082,---,345,6988,95799,-396082,---,---,7977,---,---,---,240,---,---,---,1582,---,68260,329452
335,"Electrical equipment, appliances, and components",5638,185,154,90,641,20,49334,2361,190,1429,2952,15841,1186,11459,8735,1532,90,1299,960,75,12,520,156,125,1025,1537,1541,299,119,1200,749,1,348,26,60,78,1,37,131,3,---,6882,585,74,89,16,---,323,1601,265,0,1549,6640,110,2526,991,968,16,491,849,496,35,243,523,1050,5912,2234,2424,51,1138,3974,154197,55924,---,39613,---,6419,1675,27906,-146546,---,---,355,---,---,---,5,---,---,---,605,---,-14044,140153
3361MV,"Motor vehicles, bodies and trailers, and parts",886,92,1012,489,176,29,2005,567,512,471,863,10946,165,285,221607,2728,255,372,1927,52,2,843,182,171,894,412,8293,2268,1248,162,5517,---,49,---,3166,264,0,197,3785,189,87,695,243,27,13,---,---,---,---,1024,---,32,3545,990,7484,1335,340,403,1022,107,1656,197,92,133,973,12627,4167,71,816,7183,626,318973,318347,---,265590,---,---,-15907,88850,-315011,---,---,29165,---,---,---,7947,---,---,---,18710,---,397691,716664
3364OT,Other transportation equipment,---,57,---,7,---,---,1,17,---,---,76,174,---,---,341,56611,---,---,---,---,---,---,---,---,---,---,10,---,---,---,---,658,1540,1546,0,44,---,2601,---,---,---,9,---,---,---,---,---,---,---,---,---,---,678,2,207,116,---,---,---,---,0,---,0,---,---,420,62395,2336,3,0,123,129972,29483,---,47463,---,---,-10665,73467,-40876,---,---,35265,---,---,---,250,---,---,---,1412,---,135800,265772
337,Furniture and related products,0,---,---,---,---,---,17592,156,1,---,---,145,21,1,22,80,2944,53,---,---,---,1,---,---,---,201,638,193,---,---,1958,---,---,0,---,---,---,2,---,1,---,149,473,---,---,---,---,3908,71,---,18,2,454,3,3,---,---,380,69,1,94,57,83,2,340,181,---,---,1047,---,40,31380,81699,---,27697,---,712,-468,3352,-62909,---,---,0,---,---,---,0,---,---,---,229,---,50312,81693
339,Miscellaneous manufacturing,40,2,47,26,11,---,775,8,104,27,47,2017,1,526,1546,47,6,6699,6,144,182,0,6,0,256,121,737,231,99,2,925,0,1,---,5,8,0,238,357,3,4,132,100,50,72,16,---,2,144,39,37,3,3128,15,1819,413,307,16717,14817,1215,1903,2,137,24,475,990,339,690,---,16205,89,75135,143524,---,57057,---,---,5145,29903,-141843,---,---,10,---,---,---,1,---,---,---,426,---,94222,169357
311FT,Food and beverage and tobacco products,34066,235,---,---,---,---,---,34,252,6,---,---,---,---,---,---,---,8,173601,5,883,1109,860,500,3830,177,2680,---,738,200,0,755,1,338,65,---,---,75,---,42,5,---,154,---,---,---,---,---,---,---,---,---,5112,35,---,---,5220,3,7485,4894,10553,628,3441,3935,67680,2121,2139,94,506,63008,---,397471,717357,---,---,---,---,1881,73488,-127016,---,---,---,---,---,---,---,---,---,---,---,---,665709,1063181
