,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
452,General merchandise stores,118,1,33,11,6,250,3044,11,64,10,37,214,4,9,225,69,54,19,157,5,0,42,299,16,409,25,289,119,96,15,431,0,19,---,715,32,1,60,7,13,9,5,71,34,48,9,---,506,465,58,25,12,308,---,873,9,71,65,48,6,22,3,7,355,1490,810,1,28,0,324,0,12593,254972,---,3698,680,644,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,259995,272588
4A0,Other retail,1570,0,207,138,20,3755,102105,103,81,41,225,967,26,91,1196,239,503,103,1175,43,4,261,1653,322,3236,156,1600,2661,506,896,3581,3,249,501,10817,436,5,1295,29,94,42,29,393,190,270,47,---,4806,2376,213,226,71,2097,---,1683,43,297,518,284,55,170,59,99,1984,17135,4506,13,320,1,3642,0,182461,1093048,---,47052,17567,9828,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1167495,1349957
481,Air transportation,287,2,30,23,113,669,422,84,225,136,341,273,30,41,298,145,80,158,785,38,19,136,150,160,340,300,4396,85,45,68,538,203,19,201,1269,14,9,1227,64,464,305,1043,1801,1114,2515,351,193,42,5761,725,940,1484,4558,269,6277,419,413,1995,304,243,396,87,239,137,906,794,1903,1386,317,2557,63,53425,121389,---,625,99,5,20,21253,-14813,---,---,43,2,---,---,3,2,---,---,14,6,128646,182071
482,Rail transportation,2491,63,815,386,118,3431,3160,915,1889,2529,970,505,45,295,1432,255,318,300,6883,83,12,2360,176,1795,4704,1891,345,30,63,23,152,101,377,11,3910,20,13,544,29,35,9,192,69,59,85,94,3,105,377,76,47,28,814,47,524,62,56,476,246,89,107,11,55,85,776,168,207,404,373,2511,1838,53465,8435,---,2632,---,28,-557,15023,545,---,---,1100,---,---,---,295,---,---,---,708,---,28209,81674
483,Water transportation,572,19,861,151,40,514,1222,6,288,451,126,59,10,74,81,23,13,43,893,27,1,110,1,87,642,160,540,9,5,1,22,13,13,1,18,1,13,16,1,1,1,30,12,3,4,0,0,21,73,7,0,4,442,32,115,22,10,177,111,11,11,2,10,8,58,38,1682,184,433,834,283,11745,12231,---,6,0,0,-42,6371,14587,---,---,3,0,---,---,0,0,---,---,0,---,33157,44902
484,Truck transportation,10645,682,2356,1640,473,5252,34600,3206,4449,8178,5339,4812,875,1807,10704,1952,1632,1836,41846,1004,429,4138,832,9755,8009,3528,7426,1534,1612,1663,7443,1299,612,145,5577,168,59,4486,405,884,210,1719,1723,207,329,186,24,714,1572,492,245,416,6036,1001,2443,590,723,2234,1964,668,988,171,870,639,4101,2360,3249,647,486,9204,1499,251001,130225,4,28750,1706,804,1107,44051,6326,---,---,882,27,---,---,229,32,---,---,836,95,215073,466074
485,Transit and ground passenger transportation,---,3,2,5,39,1088,504,30,65,42,117,84,6,7,51,33,27,68,152,7,5,42,54,57,68,85,630,40,5,15,113,1,463,---,---,---,3,149,6,198,109,908,1050,647,1133,851,80,161,2854,520,637,769,4618,129,3718,163,289,1520,1725,611,138,1672,64,79,465,388,15,3,9,16327,440,46354,33405,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,33405,79759
486,Pipeline transportation,144,7,9786,47,20,11868,518,6,6,7,7,11,1,3,3,1,2,4,21,3,0,22,14,15568,260,10,87,11,9,2,26,294,96,28,313,18,1,276,3,4,2,7,6,66,93,1,7,4,83,28,1,14,27,25,95,22,11,9,63,7,9,2,16,14,60,42,193,14,232,1617,6949,49227,2774,---,---,---,---,-100,15368,---,---,---,---,---,---,---,---,---,---,---,---,---,18043,67269
487OS,Other transportation and support activities,---,127,66,1782,4,12188,---,853,1510,142,164,19,---,3,8,---,353,285,805,96,---,745,468,1955,228,660,58878,2010,1083,718,20530,20762,1955,3238,65066,378,1069,44374,1698,2049,1428,358,7014,195,3335,470,---,---,---,2601,1148,578,20090,632,4515,2475,501,2050,3407,416,1264,541,574,97,633,2584,0,114,856,817,5488,310452,32877,---,---,---,---,---,15285,5187,---,---,---,---,---,---,---,---,---,---,---,---,53349,363801
493,Warehousing and storage,306,---,11,285,---,558,---,3579,2257,129,1717,635,1515,71,223,117,125,681,4041,1723,624,3716,1829,4148,3026,5938,28449,7696,10436,12701,39286,13,2,510,17998,96,57,1895,13731,704,301,870,1366,---,---,73,---,1,94,448,232,125,1328,5,3282,121,70,460,944,137,248,135,107,132,2711,1037,100,262,---,3704,118,189238,106,---,---,---,---,---,180,---,---,---,---,---,---,---,---,---,---,---,---,---,286,189525
511,"Publishing industries, except internet (includes software)",44,1,38,0,1,269,809,2,1,5,36,33,6,1,9,43,6,30,7,---,0,5,45,4,24,10,2412,232,93,152,994,6,73,---,91,5,---,516,156,13603,78,1098,2874,212,1129,187,31,68,402,306,1329,1221,5505,2770,3131,14,847,1374,1422,103,739,24,79,88,109,840,1505,1313,124,8460,149,57290,128536,---,---,164105,---,6059,35828,-4591,---,---,---,2429,---,---,---,2916,---,---,---,8627,343909,401198
512,Motion picture and sound recording industries,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,30,555,328,---,4,4,---,---,10,---,306,37,---,71,21864,55605,22,12,39,---,---,---,179,353,15,27,3946,242,117,---,3204,55,22,1863,1953,93,72,2065,3100,896,1776,544,5,1130,---,100546,13483,---,---,41899,---,416,17313,-10765,---,---,---,---,---,---,---,---,---,---,---,---,62346,162891
513,Broadcasting and telecommunications,351,19,1129,150,270,1662,7683,131,267,157,618,529,79,96,276,150,105,360,723,62,38,221,292,350,452,399,19011,1864,821,669,13151,258,128,84,7284,647,945,5322,669,3372,573,114937,10918,4790,6739,5231,759,2903,17077,1858,5189,4126,17619,5924,18470,810,2337,5906,4025,850,1325,319,1125,1458,6617,6057,3389,4639,314,42533,807,370417,356215,---,7146,31482,---,---,10164,-160,---,---,---,---,---,---,---,---,---,---,---,---,404847,775264
514,"Data processing, internet publishing, and other information services",---,0,72,5,6,2580,1549,709,761,880,2299,1351,375,233,717,558,480,889,1313,232,129,853,391,774,603,1197,5740,2496,1602,1282,9168,125,1,---,435,52,88,1774,216,3141,267,6080,25593,5085,4406,2079,1123,72,1160,7450,4712,3549,26121,8985,37471,1184,6223,2258,4862,387,1882,551,743,616,5092,9147,11559,7246,252,17146,2234,250615,130120,---,---,19341,---,---,5813,-1796,---,---,---,732,---,---,---,651,---,---,---,2290,157150,407766
521CI,"Federal Reserve banks, credit intermediation, and related activities",1186,62,3000,499,720,11961,10313,214,921,657,1205,1089,81,264,762,460,379,665,3105,198,164,321,295,583,911,1098,24075,2185,3271,3798,20385,1826,5441,502,11118,7253,423,3255,1181,2006,1871,5199,2882,24301,47142,11955,3152,125140,78325,24280,4544,3530,31191,15745,15594,412,1901,9992,2093,2262,1727,421,1519,596,4349,15389,---,46,1948,3614,10349,579300,335078,---,---,---,---,---,75475,-46,---,---,---,---,---,---,---,---,---,---,---,---,410507,989808
523,"Securities, commodity contracts, and investments",232,34,356,1457,6596,1049,3432,35,87,938,1534,1427,50,229,1036,518,394,851,223,16,9,37,51,107,47,109,2936,243,292,157,1373,4691,1034,7208,2315,1106,285,4909,68,489,623,709,275,22479,71535,8135,143201,68,8249,1492,1286,557,4931,12076,3554,82,331,1832,13409,526,3008,339,135,165,9096,19202,---,0,75,1542,3189,380058,310892,---,---,---,---,---,96372,-58,---,---,---,---,---,---,---,---,---,---,---,---,407207,787265
524,Insurance carriers and related activities,2722,564,10081,1068,1264,1297,910,150,991,414,672,1124,199,622,1133,1321,330,560,2652,331,306,288,89,326,1638,482,33792,2407,1512,1514,9472,349,39,438,11374,2194,574,3348,2103,588,2061,2444,1470,5278,18917,519316,7405,15057,60517,4809,4384,1335,11896,229,12686,1444,2198,6199,74380,1445,4970,1469,1679,1101,4738,6420,---,109384,419,1955,10882,997728,437741,---,---,---,2538,---,23298,-58401,---,---,---,---,---,---,---,---,---,---,---,---,405175,1402903
525,"Funds, trusts, and other financial vehicles",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14796,16835,---,---,---,---,---,---,55,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,31686,191127,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,191127,222813
HS,Housing,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2398820,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2398820,2398820
ORE,Other real estate,27977,68,1754,67,77,6236,26214,419,630,257,3387,776,6,225,69,288,784,585,2895,457,88,1149,1621,61,351,1760,102928,12773,23710,16159,133822,399,195,472,7937,833,337,4567,22227,2020,6474,18321,22859,18079,33301,85224,724,18476,137242,13372,34982,5237,136541,36878,24814,1859,31281,47673,50496,24969,24835,8040,12177,1556,96520,45558,146,5632,1091,27160,3919,1382016,7178,23440,---,---,179433,---,3089,---,---,---,---,---,---,---,---,---,---,---,---,---,213140,1595157
532RL,Rental and leasing services and lessors of intangible assets,3425,134,7067,1137,1716,1213,25159,164,728,564,1633,1309,236,353,1263,830,137,992,2969,106,149,721,427,1518,3396,701,33491,1089,1844,2554,12652,10532,3399,385,14472,1395,183,2007,1280,2312,3018,11553,12691,3503,7016,5154,27,142,2678,6088,3553,2057,20320,20678,8894,1581,1939,4484,5400,447,565,1170,1213,1331,9791,1464,177,114,465,9153,461,292767,130703,---,---,---,---,---,86809,---,---,---,---,---,---,---,---,---,---,---,---,---,217512,510278
5411,Legal services,252,52,1926,422,1782,5429,7169,726,480,780,3268,1045,710,63,895,292,280,1177,907,204,116,889,526,1553,951,1268,14287,510,345,856,4543,201,539,88,767,114,453,1278,298,2690,894,4998,3785,2153,8505,23470,1220,3826,22366,727,2511,4458,30730,10106,11358,525,402,5154,15962,1067,1040,777,4838,447,3079,3985,917,340,610,9592,848,240824,122103,---,---,---,46334,---,18748,-5408,---,---,---,---,---,---,---,---,---,---,---,---,181776,422600
5415,Computer systems design and related services,317,32,6720,200,17,2388,5570,135,238,194,1056,1721,144,67,344,584,129,390,786,83,40,223,344,771,527,381,16606,2303,831,1153,6646,106,1258,4,2192,111,26,667,434,5266,787,7917,15351,5122,9548,4232,569,627,2599,799,5216,6783,22863,22982,17769,363,1938,6035,11517,1162,1540,193,1114,569,2629,4103,19888,21673,311,20380,2552,280135,---,---,45913,266581,---,---,45824,-33478,---,---,87,11112,---,---,---,28292,---,---,5,11883,376220,656354
5412OP,"Miscellaneous professional, scientific, and technical services",1651,474,8844,2303,3665,19558,99069,2627,3162,4044,9458,4985,1512,1364,4278,2130,2353,5171,13999,1352,828,3311,2016,5180,5886,6054,135801,18366,10451,10937,107194,994,2488,1402,12102,1084,6141,6564,2338,16911,17882,73776,78372,39910,51795,39678,3022,2226,124371,12640,13269,29131,226258,68104,74249,3968,5208,34523,51664,7981,8033,3898,5812,8115,45365,27980,37554,17130,1383,62170,18282,1741794,86635,---,28464,631115,5651,---,198028,-123063,---,---,---,69618,---,---,---,100633,---,---,---,23815,1020897,2762691
55,Management of companies and enterprises,---,---,19893,3078,647,---,12823,774,2100,1188,8670,16413,8313,1220,14000,1973,550,3478,25389,1210,1483,2648,912,9826,14216,2609,103732,1304,4001,24112,29827,370,---,724,16855,540,---,7988,762,7693,861,3139,1753,2795,17110,3049,495,15,3540,7725,7983,6166,51169,---,77786,4512,1424,26359,10632,3669,3076,1819,2031,6295,99201,13339,---,---,---,---,---,707265,---,---,---,---,---,---,3042,---,---,---,---,---,---,---,---,---,---,---,---,---,3042,710307
561,Administrative and support services,701,57,1921,689,936,21105,16200,634,1642,2293,7474,1994,456,446,2431,3206,351,1399,4204,455,854,1658,3202,3766,3438,2138,102087,6335,5372,5156,58129,8976,1922,6401,20956,4117,3307,16007,5712,8784,3297,30500,53570,18804,16657,13290,372,17141,156541,17783,12047,27615,95744,13714,102978,4685,4469,30813,63602,9737,5334,3058,2798,5791,25747,17827,16793,3394,2037,51576,8886,1173513,64899,---,---,---,---,---,4370,-3711,---,---,---,---,---,---,---,---,---,---,---,---,65558,1239071
562,Waste management and remediation services,224,9,1773,233,172,1097,4010,83,256,285,337,203,34,53,193,121,79,131,1284,93,17,270,89,750,1532,302,3554,1008,652,372,2823,19,86,44,2031,71,58,903,1112,163,42,343,140,364,141,1983,479,90,17471,507,163,154,2427,849,3342,12788,877,2335,3279,841,955,86,939,1043,3828,2580,467,419,155,21452,4145,111210,32185,---,---,---,---,---,419,-451,---,---,---,---,---,---,---,---,---,---,---,---,32152,143362
61,Educational services,15,3,---,---,---,174,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,35,15,---,1,1744,62,1028,---,6309,163,26,---,---,---,18,52,---,---,---,52,193,30,37,---,---,---,---,---,---,37,64,---,2290,---,5288,1,30,---,---,4471,585,---,---,6998,2539,191,431,23464,20,56368,376180,---,---,---,---,---,6352,-2290,---,---,---,---,---,---,---,---,---,---,---,---,380242,436610
621,Ambulatory health care services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,163,---,103,---,---,22634,17410,77,---,96,2,---,---,134,---,740,---,8399,---,49759,1206770,---,---,---,---,---,108,---,---,---,---,---,---,---,---,---,---,---,---,---,1206878,1256637
622,Hospitals,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2632,---,---,---,---,---,---,---,---,---,---,---,---,2632,1249051,---,---,---,---,---,7617,-8549,---,---,---,---,---,---,---,---,---,---,---,---,1248119,1250751
623,Nursing and residential care facilities,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2839,---,468,---,3307,261205,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,261205,264513
624,Social assistance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9568,---,9568,252111,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,252111,261680
711AS,"Performing arts, spectator sports, museums, and related activities",98,0,1,---,21,184,223,26,49,49,99,72,3,5,42,30,17,53,160,9,5,48,55,104,51,131,3138,1050,779,71,1081,67,201,---,270,13,---,615,62,299,9668,14228,849,895,1204,701,206,0,9010,457,966,753,8786,3305,4263,164,859,1212,1028,254,382,26487,844,169,1878,3539,1073,56,46,1759,40,104263,61313,---,---,6284,---,---,1446,-1481,---,---,---,---,---,---,---,---,---,---,---,---,67561,171824
713,"Amusements, gambling, and recreation industries",31,0,---,1,14,91,193,9,20,13,38,25,2,2,15,11,8,20,48,2,0,13,18,19,20,28,571,6,83,3,705,0,1,---,---,---,---,15,3,66,36,163,313,216,363,118,26,22,924,90,233,280,945,942,1355,56,83,521,25,52,85,107,18,267,509,297,226,5,1,1148,307,11830,192367,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,192367,204197
721,Accommodation,2,---,4,9,76,760,281,52,114,75,211,152,11,15,90,61,49,117,271,16,9,75,143,108,124,184,1303,12,51,27,231,---,10,---,---,---,10,934,108,405,260,1016,1929,1353,2276,715,167,868,5710,726,1129,1696,4772,512,6388,438,334,2134,160,191,289,72,99,148,1157,726,524,414,25,2016,100,44449,161144,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,161144,205592
722,Food services and drinking places,469,32,78,49,278,3162,607,156,295,234,519,413,31,63,244,154,116,287,853,61,32,225,248,477,309,422,7099,1013,1305,1121,6280,15107,7,32,3208,137,125,3929,297,789,777,2033,3864,4368,4976,5725,837,8628,36940,2401,4321,4411,25568,4763,24530,830,1325,23822,16219,9563,2753,584,2129,7295,5535,5127,419,259,706,15287,658,276918,903493,---,---,---,---,---,1755,---,---,---,---,---,---,---,---,---,---,---,---,---,905247,1182166
81,"Other services, except government",394,315,270,127,352,755,11492,431,1036,1188,1902,1023,244,219,1328,313,204,541,2792,220,52,1625,570,1703,3194,1340,40211,2415,4491,2814,16860,343,165,19,12627,1321,415,4702,1807,688,243,4404,6457,4725,4548,10446,788,90,9774,8658,1839,1005,13912,8772,15245,2857,1573,6099,19632,1562,1146,740,1087,1674,18208,9599,2849,511,934,45143,2756,329784,631191,---,---,---,---,---,93,-3751,---,---,---,---,---,---,---,---,---,---,---,---,627533,957317
GFGD,Federal general government (defense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,713008,---,---,---,---,---,---,---,---,---,---,---,713008,713008
GFGN,Federal general government (nondefense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,533783,---,---,---,---,---,---,---,533783,533783
GFE,Federal government enterprises,9,2,---,3,---,207,5,---,---,5,23,193,0,92,---,---,---,19,---,1,---,---,39,64,36,---,12634,382,358,237,4439,3,---,1632,10252,121,118,1541,340,416,317,231,1530,1103,13343,117,---,1,315,515,321,150,2318,127,1213,112,178,635,1471,191,306,77,59,576,2909,1086,---,140,1,1225,121,63857,5709,---,---,---,---,---,874,-273,---,---,---,---,---,---,---,---,---,---,---,---,6310,70166
GSLG,State and local general government,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2106940,---,---,---,2106940,2106940
GSLE,State and local government enterprises,---,3,---,---,---,4453,---,27,108,129,127,80,17,26,84,28,22,49,585,45,11,119,31,328,779,108,1204,267,315,157,1202,1,---,---,434,7,20,268,536,93,43,187,96,207,175,97,---,---,942,988,613,179,2242,407,2211,143,99,655,1052,282,3175,40,246,482,1812,998,440,535,101,6357,962,37430,77737,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,77737,115166
Used,"Scrap, used and secondhand goods",-83,58,---,-11,1131,5643,2960,---,78,16666,222,3,---,---,---,---,---,0,---,24,---,2598,---,---,44,46,---,11,---,---,382,-3499,---,-112,-1160,1,76,1773,---,---,0,1,---,---,---,---,---,---,---,-44,---,---,---,425,---,---,504,1,---,---,---,-124,379,---,---,4399,-33,---,---,---,---,32360,160051,-3285,-190369,---,-1043,-13825,27788,-25716,---,-4,69,---,---,-576,11554,---,---,4907,7038,---,-23411,8949
Other,Noncomparable imports and rest-of-the-world adjustment [1],689,61,1131,14,283,1059,1660,146,192,470,590,1007,3679,281,1484,646,125,304,1466,110,35,383,211,3585,1716,425,5267,40,429,663,3342,16419,167,2117,1179,10,18,388,72,523,241,7064,974,1492,44191,986,72,1772,2482,951,158,728,2495,1047,1327,43,522,---,---,208,---,224,278,993,1863,388,6365,4360,827,---,---,134438,-6631,---,---,16684,---,---,77670,-217934,---,---,---,---,---,---,---,---,---,---,---,---,-130211,4226
,Total Intermediate,301985,18821,210224,47582,36199,265412,1024177,88308,75699,185246,230914,237547,52435,75696,567596,131068,48043,83223,742077,34351,16314,129923,44702,478374,389613,160905,964006,91347,103978,110147,637906,103819,41470,31660,284268,27093,17931,174457,85891,96216,79078,443706,297415,182978,388985,764214,185548,293610,1006515,150239,119542,125243,920351,283538,567922,61633,103914,370667,473268,96100,103354,61177,56809,70305,554370,307081,266111,213466,23672,852343,219909,18089683,,,,,,,,,,,,,,,,,,,,,,
V001,Compensation of employees,31721,30555,7588,9972,34695,90518,691463,27988,32421,33530,105051,94253,132178,37862,73112,70097,23199,50912,137637,12224,7247,32200,24751,19468,66418,53792,521050,90328,110926,107405,337895,56320,19402,6381,112273,24622,9061,129366,98797,195043,39509,104259,64307,343722,314894,313976,6724,10122,123820,51518,157581,478623,1084439,372466,505575,37168,207553,674796,456577,153804,149467,54563,87746,50327,341975,490994,278182,198245,63039,1464602,118844,12549140,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
V002,"Taxes on production and imports, less subsidies",-14489,1081,37717,5224,-99,70349,-21600,-89,950,2042,-2464,679,7936,208,2841,2192,-876,-731,23750,216,-593,1690,-1178,4046,17929,940,295564,50747,27031,47043,140871,-792,-2707,600,1171,-1242,4183,1161,830,5898,1994,41816,6500,21451,6258,36991,600,283922,19450,25505,18115,3756,-1022,10322,2511,3648,5314,-23638,11147,3962,-7647,-5996,15451,15569,7345,17270,---,---,-9083,---,-38086,1181454,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
V003,Gross operating surplus,148100,11113,168664,25076,21792,210734,357115,32204,34325,39880,51443,61735,137429,24149,72330,66865,7459,35981,156836,4372,1125,26539,16042,101272,288765,26000,621569,49859,19140,7992,233272,26237,23347,5124,71667,19580,36095,43752,4007,149714,42757,311628,226121,523903,77367,276502,29941,1802387,415852,209888,127455,32832,397636,43980,173682,23950,6628,194004,75118,8496,16087,59855,55,68501,277201,139134,168715,126377,11613,200106,78014,9584486,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,Total Value Added,165332,42749,213969,40272,56388,371602,1026979,60103,67696,75452,154030,156668,277544,62219,148283,139154,29782,86162,318223,16813,7780,60429,39614,124785,373112,80732,1438183,190933,157097,162441,712038,81766,40042,12105,185110,42960,49338,174279,103634,350655,84260,457703,296928,889077,398520,627469,37264,2096432,559122,286912,303152,515211,1481053,426768,681768,64766,219495,845161,542843,166262,157907,108422,103252,134397,626521,647399,446897,324622,65569,1664708,158772,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,23315081,---
,Total Industry Output,467317,61570,424194,87854,92587,637014,2051156,148411,143395,260697,384944,394215,329979,137915,715879,270222,77825,169385,1060300,51164,24093,190352,84316,603159,762725,241637,2402189,282280,261075,272588,1349944,185584,81513,43765,469378,70053,67269,348736,189525,446871,163338,901409,594343,1072055,787505,1391682,222813,2390041,1565637,437150,422694,640453,2401404,710307,1249690,126399,323409,1215828,1016111,262361,261261,169598,160061,204702,1180891,954480,713008,538088,89241,2517051,378680,---,15902575,598223,1194044,1232744,1107582,-19091,2179415,-3041128,713008,11089,95451,84473,533783,13216,24944,133191,2106940,347215,48729,48680,,41404764

Legend/Footnotes
1. Consists of noncomparable imports in the intermediate section of the use table and noncomparable imports and the rest-of-the-world adjustment in the final use section of the use table.
Note. Selected data with zero values are not shown.
Note. Detail may not add to total due to rounding.
