,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
I3N110C1EP34.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,5,5,4,3,4,3,4,4,5
I3N110C1EP35.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EP36.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,5,11,12,14,13,13,15,45,92,130,154,200,260,298,333,350,380,654,867,"1,194","1,520","1,876","2,268","3,212","3,552","4,232","5,133","5,555","5,448","6,237","6,959","9,110","9,257","11,037","8,139","7,586","8,710","7,798","7,825","8,669","8,874"
I3N110C1EP31.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,2,2,6,12,14,16,18,24,24,22,20,18,15,9,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
I3N110C1EP12.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,2,6,12,14,16,20,21,15,12,8,4,3,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EI11.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EI12.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,7,8,8,5,6,7,41,84,106,122,130,161,196,223,251,283,259,230,260,283,254,265,253,242,214,205,257,225,201,225,261,251,293,199,166,206,194,204,243,274
I3N110C1EI21.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EI22.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,6,7,7,5,7,7,13,17,14,16,16,38,63,92,123,188,140,154,120,129,107,106,100,80,57,33,28,16,18,25,28,25,31,19,14,17,20,19,16,19
I3N110C1EI30.A,4,6,4,4,4,5,5,5,5,6,6,7,7,7,8,10,11,17,19,19,10,7,12,10,12,14,16,15,17,15,8,4,3,6,11,14,20,16,14,16,25,18,10,24,28,25,39,48,45,45,53,47,47,40,43,37,38,44,52,43,45,51,56,52,61,68,73,69,67,70,64,74,165,172,179,203,214,224,223,131,49,10,10,10,8,11,13,108,195,207,235,284,296,235,181,88,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EI40.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EI50.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,8,8,10,11,8,10,13,22,26,26,25,27,108,193,297,396,557,486,329,317,220,209,201,185,146,100,52,50,42,40,40,36,33,41,28,24,33,30,31,37,42
I3N110C1EI60.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,6,6,6,4,4,6,11,16,18,19,22,28,37,44,51,65,51,39,41,32,32,33,40,30,24,17,15,11,13,16,18,20,21,14,12,14,14,15,16,18
I3N110C1ET11.A,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,9,11,10,16,32,22,23,22,33,36,39,37,41,45,29,20,12,15,20,29,36,37,21,29,32,46,41,48,55,38,83,180,207,208,209,187,156,174,183,156,166,196,203,199,185,194,187,202,217,284,302,305,205,220,231,245,274,401,451,397,518,671,766,879,634,597,501,595,757,675,591,608,672,573,440,374,93,183,382,559,728,"1,150",731,"1,059","1,136","1,175","1,236","1,343","1,750","1,810","1,823","1,737","1,370",115,"1,584","2,694","3,089","3,536","6,211","4,297","4,133","5,477","4,011","3,813","3,571","3,105"
I3N110C1ET12.A,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,7,8,7,11,26,19,18,16,26,28,31,31,35,17,10,7,4,15,22,33,43,41,23,30,32,51,45,53,45,41,91,242,291,297,273,260,210,251,263,216,211,246,253,247,229,234,227,268,284,403,429,451,281,291,305,315,357,521,589,546,680,860,"1,015","1,214",894,787,626,762,935,921,784,753,740,772,570,438,439,674,753,"1,040","1,004",901,985,801,566,291,263,275,419,421,445,510,516,513,638,757,915,988,"1,421","1,158",820,"1,014",934,988,867,"1,059"
I3N110C1ET20.A,0,0,0,0,0,0,0,0,0,0,0,14,17,18,24,29,43,87,150,189,129,121,154,71,286,153,154,159,169,142,125,106,102,107,119,130,141,121,130,140,146,104,103,84,80,177,255,259,328,407,312,268,373,347,405,295,349,326,325,331,303,382,354,371,459,432,399,524,531,393,581,655,737,630,670,856,"1,029","1,099","1,118",944,"1,157","1,048","1,322","1,391","1,268","1,141",934,"1,179",910,979,"1,139","1,118","1,241","1,541","1,335","1,344","1,269","1,124","1,174",934,736,592,467,468,466,461,475,489,265,752,"1,046","1,362",977,912,687,446,456,244,207,70,167
I3N110C1ET30.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1ET40.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1ET50.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EO11.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EO12.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,3,4,4,4,5,20,42,53,57,69,73,67,66,57,61,51,35,33,28,23,20,17,15,10,6,6,5,4,4,4,4,4,3,3,3,3,3,3,3
I3N110C1EO30.A,79,110,86,90,94,116,117,100,121,125,124,140,152,142,154,177,185,222,252,232,162,106,188,158,187,228,231,243,265,252,114,62,49,71,136,176,229,229,183,209,309,280,180,349,414,344,663,967,"1,003","1,042","1,094","1,102",998,944,995,890,880,"1,223","1,229","1,111","1,085","1,166","1,483","1,546","1,799","2,014","2,233","2,065","2,371","2,840","2,841","3,273","4,342","4,859","5,953","5,942","6,528","7,217","8,226","7,206","7,543","5,644","4,772","5,022","4,207","4,189","3,940","5,294","7,098","7,759","6,354","5,591","6,639","7,332","7,915","8,312","8,846","9,399","6,893","7,375","8,697","9,538","10,134","10,750","10,961","10,199","10,620","13,168","14,271","13,333","15,320","19,484","22,991","23,179","15,594","11,785","12,440","14,130","15,644","16,753","18,170"
I3N110C1EO21.A,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,36,61,147,165,182,52,57,79,74,91,104,119,101,140,131,84,42,21,49,96,151,201,142,142,169,242,122,60,211,237,200,360,543,610,632,664,603,602,468,596,463,493,514,656,418,522,582,702,750,840,"1,070","1,006","1,060",964,968,964,"1,215","1,519","1,469","1,942","2,041","2,139","2,527","3,381","3,097","3,587","2,641","2,534","2,883","1,917","1,575","1,761","2,547","2,606","2,934","2,622","2,103","2,618","3,184","3,302","3,081","4,942","4,617","2,756","3,372","2,968","3,852","4,099","4,743","4,951","4,366","4,664","5,430","5,672","5,081","5,859","9,590","11,739","15,302","11,839","8,341","9,000","9,780","13,097","12,586","14,182"
I3N110C1EO40.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,5,7,9,9,8,9,11,14,16,11,10,31,57,86,114,169,161,103,102,82,56,53,53,47,38,23,29,24,35,31,36,32,39,21,19,22,19,20,19,23
I3N110C1EO22.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,2,1,1,5,10,13,17,22,19,16,13,7,2,2,2,2,1,1,4,2,11,9,8,7,8,3,3,3,2,3,2,3
I3N110C1EO50.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EO60.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,6,6,7,5,6,8,17,28,30,32,34,39,39,38,33,30,29,26,28,33,34,30,31,29,24,22,26,27,33,35,42,39,45,32,30,31,27,26,30,32
I3N110C1EO71.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EO72.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,69,85,79,83,64,43,29,13,4,3,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EO80.A,0,0,0,0,0,0,40,37,38,39,37,38,39,40,34,44,62,79,72,72,43,45,59,42,46,51,50,51,38,36,16,7,7,11,24,33,44,39,33,39,54,39,25,56,68,60,100,118,94,108,128,112,112,91,109,88,93,117,138,115,120,140,151,145,166,190,208,175,192,238,268,194,276,333,328,364,431,393,392,272,198,134,117,114,80,87,103,126,154,152,151,158,605,"1,087","1,685","2,220","3,129","3,020","2,603","2,637","2,902","3,337","3,502","3,551","3,381","2,935","2,826","3,027","2,980","2,815","2,865","2,733","2,840","3,009","2,096","1,766","2,010","1,795","1,886","2,547","2,772"
I3N110C1ST00.A,102,105,102,101,97,102,101,98,103,109,105,113,113,113,104,147,221,245,340,261,111,133,154,145,149,140,171,152,139,70,30,10,15,25,57,72,88,76,82,60,84,93,134,149,144,659,755,786,743,684,720,785,680,636,570,625,512,486,870,980,897,"1,047","1,171","1,122","1,088","1,071","1,210","1,142","1,223","1,353","1,288","1,193","1,853","2,635","3,386","3,564","3,897","4,570","5,164","4,522","3,966","2,998","2,643","2,483","1,445","1,065","1,429","1,682","1,673","1,779","1,767","1,479","2,263","2,539","2,540","2,963","2,471","2,619","3,109","4,025","4,491","4,699","4,551","4,761","5,251","4,972","5,392","7,342","6,989","6,142","7,337","8,364","8,880","11,454","8,324","7,776","8,795","5,380","6,705","7,716","8,476"
I3N110C1SOO1.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1SB31.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1SB32.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1SOO2.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1SC03.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1SC04.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1SC01.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1SOMO.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
