Country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Canada	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	52.5556895	52.05115354	53.90908963	54.66665248	55.43596046	56.70534852	57.68450986	58.17961777	60.40780156	62.13657242	66.05553392	70.03798229	76.78969915	75.85198657	68.94753582	66.73016065	67.38856102	68.53122686	68.95841459	71.92683293	75.86404578	79.18220103	82.76280222	82.80083403	84.18659317	82.21704808	81.93888803	80.91480449	83.13743348	86.99556004	81.33495779	82.60165939	87.83348463	89.8127996	84.60119849	84.13295791	77.42415183	78.25577107	81.10094627	84.22344408	88.50829932	85.29027975	85.40801539	89.84649198	95.25713538	99.11559388	108.6979217	109.6912668	110.091837	113.197267	116.3284723	131.7114109	123.0011363
Central African Republic	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	3.369956796	3.684891074	3.828774625	4.500784804	4.288589793	3.58942465	4.269277916	5.035932504	4.947154588	5.32485458	5.089581785	5.835695687	7.681575141	7.223559493	6.849844156	6.99443842	6.508388431	8.38509611	7.772145225	no data	no data
Chad	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	1.905150411	1.970845611	2.323582991	1.664445123	1.700680079	1.463104246	1.612848936	1.632624738	2.73864947	2.891369126	3.379420691	3.80246351	3.636312481	5.372058308	5.701094221	6.549536057	6.717023549	6.980829994	6.105194975	no data	no data
Chile	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	90.43544264	77.26286198	68.45944242	64.10367071	61.25025499	63.09735307	78.91035571	76.21986399	70.09085096	75.29205175	80.27686681	86.96898056	96.76115981	104.0621952	100.22376	93.54703667	97.34703089	105.6099091	110.3759355	101.9272843
China, People's Republic of	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	97.95359237	86.99823749	87.8810421	104.2207158	110.8623284	108.5380778	116.7479641	121.824436	131.7811413	140.8690733	144.8549076	142.2924307	136.0493872	133.6827594	139.1547252	131.4490197
Colombia	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	30.9564175	38.70233496	39.15801031	40.24039222	37.44020495	37.02499271	38.28048511	34.52834298	29.51525676	26.70238846	27.49736455	26.96348663	27.16764753	27.70595145	30.16987777	30.20708423	29.02616312	31.66618792	36.3632644	41.10307944	37.87281652	35.33454362	34.31927513	31.56060706	37.5382518	34.58693249
Congo, Republic of 	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	1.612243183	2.027137979	2.620082889	2.136314052	1.542237632	1.592865752	1.721745948	2.681396664	3.895442737	4.676062534	4.950947585	5.275489559	6.64387744	8.596380468	11.93946737	15.53259102	13.17788586	10.96530141	9.269582855	no data	no data
Costa Rica	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	30.81117823	32.49442217	29.36662032	26.94749328	27.75096486	29.62798913	33.99271228	35.38705802	30.52506369	27.82500078	31.06430691	29.97759938	32.23886138	33.93420001	33.89620319	35.36738013	35.14831449	35.5680461	32.77237704	35.77073331	33.8999803
Croatia	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	30.28500948	33.63186135	38.91034985	39.06997857	45.4762643	44.04957352	54.65037937	58.08138962	57.72406384	59.46906325	61.21097967	66.77690098	73.52298759	81.00158381	92.58985705	100.4405475	99.62040691	99.35503731	99.81414177	99.01957392	97.85707849	94.89152118	92.11878449	90.35025687	84.74247261	93.66537771	84.64951942
Cyprus	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	254.7751455	248.7931423	246.3192968	239.8695335	226.7584648	227.2251062	199.2782629	203.1986192	189.0651761	149.2108283	158.890598	160.8783695	169.6721031	187.0065651	192.8494552	196.1550351	203.5075316	200.4804378	212.8936532	222.120355	221.6549148	214.0333453	201.1716242	188.4345778	181.9894915	184.043316	170.7517302
Czech Republic	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	59.54090256	62.04870289	69.44162019	59.69589507	58.13483724	54.41889059	47.95298873	47.07838997	40.80628961	46.23934019	43.64714401	45.5555993	46.72661174	51.19309103	52.58299784	54.92267467	56.26197129	58.57010373	60.45368712	59.85761774	55.73010465	56.84849276	57.24737088	59.95494904	54.55332973	55.74315951	51.55460619
Denmark	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	69.56297626	65.37444415	64.62908906	66.02319634	61.45573265	69.13237875	75.4252546	81.03127465	75.90698816	80.27347815	86.37279366	97.45507991	107.8679277	115.0896054	117.3926294	122.6788948	116.094915	125.2366998	128.5728458	120.524523	123.7724268	126.0911157	125.6167423	120.6367193	123.2250262	136.7675268	132.5371355	127.3059372
El Salvador	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	31.32982528	32.92262368	30.60111772	28.83030191	29.04263652	28.09183351	29.01790824	25.9076675	19.64072037	19.71374047	16.99885659	19.48098168	21.11503755	21.47971706	22.30004216	24.30602996	27.10745727	28.41024302	27.79911109	32.54305961	29.58910176
Estonia	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	no data	32.43245132	36.63616823	46.29554713	60.20853103	61.77291979	64.19028947	70.17820059	75.83815058	78.57467962	81.43824527	78.57169934	88.63779237	90.52802425	97.58533933	102.2958054	95.63804601	87.86520559	87.43188614	86.67966102	89.12457608	85.63318868	83.11285228	78.18909667	76.164085	77.018217	81.45609427	75.40772882
